id;name;num_screens;num_seats;insee;commune;genre;art_et_essai;3D_screen
14102;CGR ALBI LAPEROUSE;3;467;81004;Albi;FIXE;0;1
14114;Cinéma SNA;1;142;81004;Albi;FIXE;1;0
19325;MONCINE;7;1_095;64024;Anglet;FIXE;0;1
19464;CITE INTERN DE LA BANDE DESSINEE ET DE L'IMAGE (EX-CNBDI);2;294;16015;Angoulême;FIXE;1;0
19491;MEGA CGR;11;1_876;16015;Angoulême;FIXE;0;1
22051;GRAND ECRAN;3;519;33009;Arcachon;FIXE;1;1
23131;CASINO;1;288;65025;Argelès-Gazost;FIXE;1;1
23262;LE TURENNE;1;187;19010;Argentat-sur-Dordogne;FIXE;1;0
23491;LE COMMYNES;1;223;79013;Argentonnay;FIXE;0;0
25179;MAISON DU VAL D'AZUN;1;75;65032;Arrens-Marsous;FIXE;0;0
26132;ST MICHEL;1;200;64062;Arudy;FIXE;1;1
26180;SALLE POLYVALENTE;1;;12011;Arvieu;ITINERANT;1;0
28661;LE CARFOUR;1;238;85008;Aubigny-Les Clouzeaux;FIXE;1;0
28991;COLBERT;2;379;23008;Aubusson;FIXE;1;0
29062;JEAN MARAIS;1;188;31022;Aucamville;FIXE;1;0
29123;CINE 32;5;835;32013;Auch;FIXE;1;0
31544;L'OUSTAL;1;179;31033;Auterive;FIXE;1;1
32941;STUDIO 7;1;98;31036;Auzielle;FIXE;1;0
34482;CASINO;1;336;09032;Ax-les-Thermes;FIXE;1;0
35861;LE MAINTE0;1;132;65059;Bagnères-de-Bigorre;FIXE;1;0
35872;REX;2;378;31042;Bagnères-de-Luchon;FIXE;1;1
38501;CINEMA DE BARAQUEVILLE;1;164;12056;Baraqueville;FIXE;1;1
38592;SALLE COMMUNALE;1;90;47021;Barbaste;ITINERANT;0;0
38772;LE CLUB;2;239;16028;Barbezieux-Saint-Hilaire;FIXE;1;1
39131;LE REFUGE;1;136;65481;Barèges;FIXE;0;0
42681;L ATALANTE;1;180;64102;Bayonne;FIXE;1;0
42717;L'ATALANTE;3;400;64102;Bayonne;FIXE;0;0
42841;VOG;1;154;33036;Bazas;FIXE;1;1
44892;LES NOUVEAUX BLEUS;1;212;82013;Beaumont-de-Lomagne;FIXE;1;1
46862;LE FESTIVAL;2;374;33039;Bègles;FIXE;1;1
47645;LUX;1;292;87011;Bellac;FIXE;1;1
50151;CYRANO;9;1_082;24037;Bergerac;FIXE;1;1
54891;ROYAL;3;458;64122;Biarritz;FIXE;1;0
54931;ROBERT DOISNEAU;1;186;46029;Biars-sur-Cère;FIXE;1;1
55532;CENTRE CULTUREL;1;298;33051;Biganos;FIXE;1;1
56475;LE RENOIR;4;536;40046;Biscarrosse;FIXE;1;0
57141;MEGA CGR;15;2_998;31069;Blagnac;FIXE;0;1
57172;REX;1;213;31069;Blagnac;FIXE;1;0
57821;COLONNES;2;339;33056;Blanquefort;FIXE;1;1
57851;SELECT;1;114;16046;Côteaux du Blanzacais;FIXE;0;0
58143;LE ZOETROPE;2;408;33058;Blaye;FIXE;1;0
62802;MEGA CGR LE FRANCAIS;12;1_900;33063;Bordeaux;FIXE;0;1
62804;UGC CINE CITE;18;2_648;33063;Bordeaux;FIXE;0;1
62871;MEGARAMA;17;2_878;33063;Bordeaux;FIXE;0;1
63411;UTOPIA;5;553;33063;Bordeaux;FIXE;1;0
64352;LE 7 EME ART;2;358;19028;Bort-les-Orgues;FIXE;1;1
66714;CINE LUMIERE;1;221;31080;Boulogne-sur-Gesse;FIXE;1;1
67711;CINEMA CLAUDE MILLER;1;410;23030;Bourganeuf;FIXE;1;0
72985;LE FAUTEUIL ROUGE;5;813;79049;Bressuire;FIXE;1;1
73371;LE FIEF;1;290;85035;Bretignolles-sur-Mer;FIXE;0;0
75694;MEGA CGR;9;1_504;19031;Brive-la-Gaillarde;FIXE;0;1
75703;REX 1;3;587;19031;Brive-la-Gaillarde;FIXE;1;0
78542;LUX L1S DELLUC;2;281;24068;Le Buisson-de-Cad1n;FIXE;1;1
80391;MEGA CGR;12;2_219;86041;Buxerolles;FIXE;0;1
80991;SALLE POLYVALENTE;1;150;46040;Cabrerets;ITINERANT;1;0
81311;SALLE LUX;2;286;33081;Cadillac;FIXE;1;1
81673;LE QUERCY;1;360;46042;Cahors;FIXE;1;1
82741;LE TEMPLE;1;172;12044;Camarès;FIXE;0;0
82961;L AIGLON;1;110;64160;Cambo-les-Bains;FIXE;1;1
84441;CENTRE SIMONE SIGNORET;1;383;33090;Canéjan;FIXE;0;1
85211;RIO CINEMA;1;172;40065;Capbreton;FIXE;1;1
85323;ATMOSPHERE;1;263;12052;Capdenac-Gare;FIXE;1;0
85851;CENTRE AUDIOVISUEL;1;195;33095;Captieux;FIXE;1;1
85861;CASINO;1;99;65127;Capvern;FIXE;1;0
85981;FAVOLS;1;196;33096;Carbon-Blanc;FIXE;0;1
85993;CINE CARBONNE;1;206;31107;Carbonne;FIXE;1;0
86031;CENTRE CULTUREL DE L ESTRAN;1;248;33097;Carcans;FIXE;0;1
86544;CLAP CINE;4;573;81060;Carmaux;FIXE;1;1
86860;SALLE MULTISERVICE;1;0;64167;Carrère;ITINERANT;0;0
87772;M J C  CINE 113;1;178;31113;Castanet-Tolosan;FIXE;1;1
87941;LE CASTELIA;1;190;31116;Castelginest;FIXE;1;1
87966;L'ODYSSEE;1;185;47052;Casteljaloux;FIXE;1;1
88111;LE MELIES;1;193;31117;Castelmaurou;FIXE;1;1
88371;SALLE COMMUNALE POLYVALENTE;1;80;09082;Castelnau-Durban;ITINERANT;1;0
88512;VOX;1;184;82033;Castelsarrasin;FIXE;1;0
88751;KURSAAL;1;106;40075;Castets;FIXE;1;1
88991;CINE 4;1;205;47057;Castillonnès;FIXE;1;1
89105;CGR CASTRES;5;660;81065;Castres;FIXE;1;1
90112;CINEMA THEATRE;1;330;82037;Caussade;FIXE;1;1
90191;CASINO;1;500;65138;Cauterets;FIXE;1;0
90763;ARMAGNAC;1;186;32096;Cazaubon;FIXE;1;0
90932;LES CAPUCINS;1;237;31135;Cazères;FIXE;1;1
92441;7EME ART;1;200;79062;Cerizay;FIXE;1;1
93261;COMPLEXE LE REX;2;544;33122;Cestas;FIXE;1;1
94743;CLUB;2;516;85047;Challans;FIXE;1;1
99051;CINE LUMIERE;1;160;85051;Chantonnay;FIXE;1;0
99411;LA CHAPELLE ACHARD;1;300;85152;Les Achards;ITINERANT;0;0
103561;VOX;1;178;16085;Chasseneuil-sur-Bonnieure;FIXE;1;0
103922;SALLE BELLE EPINE;1;160;85059;La Châtaigneraie;FIXE;0;1
104143;CINEMA LA GARGAMOELLE;1;147;85060;Château-d'Olonne;FIXE;0;0
104642;COLISEE;1;210;87040;Châteauneuf-la-Forêt;FIXE;1;0
105375;LES 400 COUPS;1;129;86066;Châtellerault;FIXE;1;1
105404;LOFT CINEMAS;7;946;86066;Châtellerault;FIXE;1;0
107511;REX;2;218;86070;Chauvigny;FIXE;1;1
108592;FOYER CULTUREL;1;146;79083;Chef-Boutonne;FIXE;1;1
113131;LE CINE-MALICE;1;126;86078;Civray;FIXE;1;1
113271;LE MAGNOAC;1;116;65148;Cizos;FIXE;1;0
115891;GALAXY;7;962;16102;Cognac;FIXE;0;0
117341;CENTRAL;2;412;31149;Colomiers;FIXE;1;1
119181;CINE 32 GASCOGNE;2;273;32107;Condom;FIXE;1;1
119331;LE CAPITOLE;1;149;16106;Confolens;FIXE;1;1
122291;LA MALINE;1;278;17121;La Couarde-sur-Mer;FIXE;1;0
125933;LE MARCHOIS;1;104;23067;La Courtine;FIXE;0;1
127501;HENRI GEORGES CLOUZOT;1;222;79048;La Crèche;FIXE;1;1
127821;MAX LINDER;1;189;33140;Créon;FIXE;1;1
136666;LE GRAND CLUB;8;1_275;40088;Dax;FIXE;1;1
136686;LA STRADA;3;460;12089;Decazeville;FIXE;1;1
141321;LE CINEMA;1;270;87059;Le Dorat;FIXE;1;0
143772;SALLE DES FETES;1;200;23075;Dun-le-Palestel;ITINERANT;1;1
144303;CINEMA DE GOURETTE;1;126;64204;Eaux-Bonnes;FIXE;0;0
144331;FOYER ARMAGNAC EAUZE;1;323;32119;Eauze;FIXE;1;1
146013;L ESPLANADE;2;269;19073;Égletons;FIXE;1;1
147471;CINEMA POUR TOUS;1;150;12094;Entraygues-sur-Truyère;FIXE;1;1
150801;REX;1;217;12096;Espalion;FIXE;1;1
154142;ALPHA;1;172;23076;Évaux-les-Bains;FIXE;1;0
154813;JEAN GABIN;1;135;87064;Eymoutiers;FIXE;1;1
154921;JEAN RENOIR;1;169;33162;Eysines;FIXE;1;1
158201;LE ROC;1;153;85089;La Ferrière;FIXE;1;1
159674;CHARLES BOYER;1;317;46102;Figeac;FIXE;1;0
161061;GRAND ANGLE;2;157;32132;Fleurance;FIXE;1;1
162212;REX;1;141;09122;Foix;FIXE;1;0
162213;CENTRE CULTUREL;1;463;09122;Foix;FIXE;1;1
163150;MEGA CGR;8;1_501;86100;Fontaine-le-Comte;FIXE;0;0
164003;CINEMA LE RENAISSANCE;3;520;85092;Fontenay-le-Comte;FIXE;1;1
166862;CASINO;1;282;17168;Fouras;FIXE;1;0
171253;CINE FRONTON;1;120;31202;Fronton;FIXE;1;1
172104;IMAG'IN CINEMA L'OLYMPIA;4;709;81099;Gaillac;FIXE;1;1
172860;CINESCOP;6;873;16146;Garat;FIXE;1;1
173432;LE FAMILY;1;166;64233;Garlin;FIXE;1;1
174961;CINEMA DE GENCAY;1;104;86103;Gençay;FIXE;1;1
177663;CINEMA DE LA COMMUNAUTE DE COMMUNE;1;97;32147;Gimont;FIXE;1;1
181262;L'ATALANTE;2;290;46127;Gourdon;FIXE;1;1
182282;L'ATELIER;1;158;46128;Gramat;FIXE;1;1
184252;CINEMA VERTIGO;2;280;81105;Graulhet;FIXE;1;0
184852;L'ENTRACT;1;250;31232;Grenade;FIXE;1;0
187515;SENECHAL;5;695;23096;Guéret;FIXE;1;1
188933;GERARD PHILIPE;1;182;33199;Gujan-Mestras;FIXE;1;1
189661;AQUITAINE;1;415;40119;Hagetmau;FIXE;1;1
